danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity,main_artist,playlist
0.786,0.579,2,-14.913,1,0.142,0.186,0,0.118,0.481,90.012,audio_features,7ltsfuHdqTZ5LwPpDy1q0v,spotify:track:7ltsfuHdqTZ5LwPpDy1q0v,https://api.spotify.com/v1/tracks/7ltsfuHdqTZ5LwPpDy1q0v,https://api.spotify.com/v1/audio-analysis/7ltsfuHdqTZ5LwPpDy1q0v,416613,4,45,Sukhwinder Singh,Hindi
0.805,0.67,2,-13.187,1,0.0601,0.0493,5e-05,0.203,0.916,122.992,audio_features,0OXQa6GOzxeYWFopEmASw9,spotify:track:0OXQa6GOzxeYWFopEmASw9,https://api.spotify.com/v1/tracks/0OXQa6GOzxeYWFopEmASw9,https://api.spotify.com/v1/audio-analysis/0OXQa6GOzxeYWFopEmASw9,425413,4,18,Shankar Mahadevan,Hindi
0.767,0.503,9,-13.424,1,0.0828,0.12,9.56e-05,0.158,0.483,141.996,audio_features,6B58TJqjGLQuuZBhQ3UnEA,spotify:track:6B58TJqjGLQuuZBhQ3UnEA,https://api.spotify.com/v1/tracks/6B58TJqjGLQuuZBhQ3UnEA,https://api.spotify.com/v1/audio-analysis/6B58TJqjGLQuuZBhQ3UnEA,309107,4,35,Lata Mangeshkar,Hindi
0.646,0.908,11,-4.68,0,0.0988,0.419,1.57e-06,0.381,0.881,104.238,audio_features,0IYpKZhCeoXB85BslBg3q5,spotify:track:0IYpKZhCeoXB85BslBg3q5,https://api.spotify.com/v1/tracks/0IYpKZhCeoXB85BslBg3q5,https://api.spotify.com/v1/audio-analysis/0IYpKZhCeoXB85BslBg3q5,327227,4,45,Jatin-Lalit,Hindi
0.493,0.947,1,-4.188,0,0.206,0.0815,0.00937,0.0552,0.568,127.986,audio_features,7CcAKQatXMmlr7wi6BaQsI,spotify:track:7CcAKQatXMmlr7wi6BaQsI,https://api.spotify.com/v1/tracks/7CcAKQatXMmlr7wi6BaQsI,https://api.spotify.com/v1/audio-analysis/7CcAKQatXMmlr7wi6BaQsI,297927,4,40,Aditya Narayan,Hindi
0.349,0.596,2,-9.313,1,0.0364,0.177,5.29e-06,0.336,0.329,120.009,audio_features,2vuhZrEHS25D8xNQTSvuuj,spotify:track:2vuhZrEHS25D8xNQTSvuuj,https://api.spotify.com/v1/tracks/2vuhZrEHS25D8xNQTSvuuj,https://api.spotify.com/v1/audio-analysis/2vuhZrEHS25D8xNQTSvuuj,368547,4,24,Vishal-Shekhar,Hindi
0.778,0.812,4,-8.561,0,0.046,0.0573,8.28e-06,0.243,0.791,99.962,audio_features,4w90JoFrkoYfxe4S8DWD7T,spotify:track:4w90JoFrkoYfxe4S8DWD7T,https://api.spotify.com/v1/tracks/4w90JoFrkoYfxe4S8DWD7T,https://api.spotify.com/v1/audio-analysis/4w90JoFrkoYfxe4S8DWD7T,277987,4,31,Vishal-Shekhar,Hindi
0.831,0.866,6,-8.721,0,0.078,0.0417,0.22,0.0682,0.531,96.016,audio_features,5CCrZzRBho2kUBRaTQD4Os,spotify:track:5CCrZzRBho2kUBRaTQD4Os,https://api.spotify.com/v1/tracks/5CCrZzRBho2kUBRaTQD4Os,https://api.spotify.com/v1/audio-analysis/5CCrZzRBho2kUBRaTQD4Os,247073,4,24,Aamir Khan,Hindi
0.595,0.828,2,-8.642,0,0.102,0.767,3.11e-06,0.089,0.841,98.732,audio_features,1DBnQsAclYECi8ybpWs1fv,spotify:track:1DBnQsAclYECi8ybpWs1fv,https://api.spotify.com/v1/tracks/1DBnQsAclYECi8ybpWs1fv,https://api.spotify.com/v1/audio-analysis/1DBnQsAclYECi8ybpWs1fv,291627,4,0,Lata Mangeshkar,Hindi
0.902,0.772,6,-8.29,0,0.0383,0.0452,0.000129,0.12,0.808,131.992,audio_features,3hCUkos0NxuSFl73oOHJzb,spotify:track:3hCUkos0NxuSFl73oOHJzb,https://api.spotify.com/v1/tracks/3hCUkos0NxuSFl73oOHJzb,https://api.spotify.com/v1/audio-analysis/3hCUkos0NxuSFl73oOHJzb,333093,4,45,Shankar-Ehsaan-Loy,Hindi
